population_size,tournament_size,mutation_rate,lap,value,weight,fitness,convergence_gen,runing_duration
30,29,8,4,3816.0,261.5,1330.8218,914,0.03769087791442871
40,2,1,0,3300.0,281.5,1000.3435,626,0.016967058181762695
40,2,1,1,2997.0,257.0,955.8599,242,0.0059621334075927734
40,2,1,2,3460.0,279.7,1148.3999,1224,0.03355693817138672
40,2,1,3,3631.0,283.3,1218.1097,1432,0.039700984954833984
40,2,1,4,3402.0,283.1,1119.4671,528,0.013993978500366211
40,2,2,0,3285.0,276.0,1068.2977,794,0.023245811462402344
40,2,2,1,2997.0,257.0,955.8599,242,0.006470918655395508
40,2,2,2,3441.0,276.6,1157.9598,930,0.026825904846191406
40,2,2,3,3587.0,280.2,1271.7075,1546,0.04531288146972656
40,2,2,4,3581.0,272.8,1220.7938,870,0.025150060653686523
40,2,3,0,3619.0,280.4,1221.0322,972,0.030050039291381836
40,2,3,1,3697.0,277.4,1307.5396,2012,0.06303000450134277
40,2,3,2,3772.0,279.4,1287.8707,1290,0.04003787040710449
40,2,3,3,3235.0,283.0,1169.5757,878,0.027164936065673828
40,2,3,4,3748.0,282.4,1335.9387,2214,0.06947612762451172
40,2,4,0,3466.0,276.8,1200.8513,930,0.030495166778564453
40,2,4,1,3429.0,274.0,1281.8837,1650,0.05444908142089844
40,2,4,2,3537.0,273.5,1205.6035,984,0.032456159591674805
40,2,4,3,3264.0,279.2,1048.7288,344,0.01065683364868164
40,2,4,4,3285.0,268.4,1145.4948,552,0.017511844635009766
40,2,5,0,3654.0,278.2,1277.8144,1230,0.04282808303833008
40,2,5,1,3407.0,282.0,1223.6891,802,0.027793169021606445
40,2,5,2,3252.0,278.6,1060.1054,358,0.011919021606445312
40,2,5,3,3308.0,282.6,1221.9641,844,0.02875804901123047
40,2,5,4,3481.0,277.9,1117.4924,374,0.012536048889160156
